id	node1	label	node2	node2;coor	node2;label
	cluster_0_0_3_6_7_2_1905	member	QNIHPER8525980	@40.424/-86.929	'Purdue University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER7981086	@41.894667/-87.62131	'Northwestern Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER9787693	@42.33615277777778/-71.10683333333333	'Brigham and Women\'s Hospital'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER7989601	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER9868984	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_3_5_15_45_1068	member	QNIHPER8003210	@38.54/-121.75	'University of California, Davis'@en
	cluster_0_0_3_5_15_45_2081	member	QNIHPER8586979	@29.64833/-82.34944	'University of Florida'@en
	cluster_0_0_2_3_23_60_463	member	QNIHPER9856576	@40.443322/-79.943583	'Carnegie Mellon University'@en
	cluster_0_0_2_3_23_60_463	member	QNIHPER8638276	@38.215019444444/-85.760222222222	'University of Louisville'@en
	cluster_0_0_2_3_24_142_1879	member	QNIHPER8022214	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_2_3_24_142_1879	member	QNIHPER9335858	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_3_5_30_15_444	member	QNIHPER8023955	@38.8308/-77.3075	'George Mason University'@en
	cluster_0_0_3_5_30_15_444	member	QNIHPER8218943	@40.741/-74.174	'Rutgers University–Newark'@en
	cluster_0_0_3_6_7_31_225	member	QNIHPER9809725	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_3_6_11_74_185	member	QNIHPER9347019	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER8034494	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER8842510	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER8085279	@38.033333333333/-84.5	'University of Kentucky'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER8957529	@38.033333333333/-84.5	'University of Kentucky'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8965617	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER8141999	@38.215022/-85.760223	'University of Louisville School of Medicine'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER9543696	@38.215019444444/-85.760222222222	'University of Louisville'@en
	cluster_0_0_2_3_24_124_493	member	QNIHPER8243842	@41.7308/-72.7903	'University of Connecticut School of Medicine'@en
	cluster_0_0_2_3_24_124_1918	member	QNIHPER8845428	@30.610369/-96.344056	'Texas A&M University'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER8246135	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER8352708	@41.504/-81.608	'Case Western Reserve University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8254683	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8897571	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_6_11_35_1321	member	QNIHPER8255102	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_6_21_33_1184	member	QNIHPER8261139	@42.2768/-71.7624	'University of Massachusetts Medical School'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER8261182	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER8806432	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_6_11_102_86	member	QNIHPER8266822	@39.286363/-76.590145	'Johns Hopkins Medicine'@en
	cluster_0_0_3_6_11_102_1318	member	QNIHPER8488944	@40.7895/-73.9538	'Icahn School of Medicine at Mount Sinai'@en
	cluster_0_0_3_5_30_15_1005	member	QNIHPER8278863	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_5_30_15_1005	member	QNIHPER8806769	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_2_2_9_93_624	member	QNIHPER8300970	@38.035555555556/-78.503333333333	'University of Virginia'@en
	cluster_0_0_2_2_9_93_624	member	QNIHPER8822329	@43.128333/-77.628333	'University of Rochester'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER8475970	@43.07527778/-89.40972222	'University of Wisconsin–Madison'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8315296	@42.054853/-87.673945	'Northwestern University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER9819606	@42.054853/-87.673945	'Northwestern University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8424626	@42.054853/-87.673945	'Northwestern University'@en
	cluster_0_0_3_6_7_2_843	member	QNIHPER8968461	@38.8308/-77.3075	'George Mason University'@en
	cluster_0_0_3_6_21_33_1184	member	QNIHPER9536564	@44.4775/-73.19361	'University of Vermont'@en
	cluster_0_0_3_6_21_40_1456	member	QNIHPER8426834	@35.908611111111/-79.049166666667	'University of North Carolina at Chapel Hill'@en
	cluster_0_0_3_5_15_45_1634	member	QNIHPER8630548	@34.1375/-118.125	'California Institute of Technology'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8470026	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER9739014	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_6_7_2_1145	member	QNIHPER8479397	@41.662439/-91.548881	'University of Iowa Health Care'@en
	cluster_0_0_3_6_7_2_1145	member	QNIHPER9248330	@41.6602/-91.5484	'Roy J. and Lucille A. Carver College of Medicine'@en
	cluster_0_0_2_3_23_60_1657	member	QNIHPER9632846	@32.896092/-117.242457	'Scripps Research'@en
	cluster_0_0_2_3_23_51_1075	member	QNIHPER9196399	@40.8075/-73.961944444444	'Columbia University'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER8575468	@42.335743/-71.105138	'Harvard Medical School'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER9717199	@42.335743/-71.105138	'Harvard Medical School'@en
	cluster_0_0_3_5_28_54_1130	member	QNIHPER8604953	@40.110538888889/-88.228411111111	'University of Illinois at Urbana–Champaign'@en
	cluster_0_0_3_5_28_54_1130	member	QNIHPER9046116	@40.7725/-111.835	'Huntsman Cancer Institute'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER8625816	@36.9914/-122.0609	'University of California, Santa Cruz'@en
